STBA,Paragraph,Section,Lemma,Lemma_Witnesses,Lemma_Sources,Lemma_Annotations,Reading_1,Reading_1_Witnesses,Reading_1_Sources,Reading_1_Annotations,Reading_2,Reading_2_Witnesses,Reading_2_Sources,Reading_2_Annotations,Reading_3,Reading_3_Witnesses,Reading_3_Sources,Reading_3_Annotations,Reading_4,Reading_4_Witnesses,Reading_4_Sources,Reading_4_Annotations,Reading_5,Reading_5_Witnesses,Reading_5_Sources,Reading_5_Annotations,Reading_6,Reading_6_Witnesses,Reading_6_Sources,Reading_6_Annotations,Reading_7,Reading_7_Witnesses,Reading_7_Sources,Reading_7_Annotations,General_Comment,Omissions,Complications
,4,2,militem,S T V,,(cf. Cic. Man. 39),milites,M U,,(cf. BC 3.112.11),,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,2,reliqua,M S,,(cf. BC 2.39.2 etc.),et reliqua,U T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,1,s(u/o)ffossa,Uc S T V,,,soffosa,Uac,,ut uidetur,fossossa,Mac,,,fossosa,Mc,,,,,,,,,,,,,,,,,,,,,
,5,1,ad Nilum,M U,,"(cf. 14.5 et BG 1.1.6 etc., u. TLL 10.1.1809.73-1810.38)",a Nilo,S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,1,spatio temporis,M U S T V,,,[spatio temporis],,Landgraf,1891a ut glossema de 6.3 sumptum,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,2,tamen,M U S T V,,", quod suspicatur Larsen ('fortasse ortum est dittographia ex flumen')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,3,munitionum,M U S,,,munitionem,T,,,muni,V,,,,,,,,,,,,,,,,,,,,,,,,,
,6,1,hanc locis,M U S T V,,(cf. Hirt. 8.9.1 et Virg. Aen. 7.792),hanc <e> (uel <ex>) locis,,Larsen,fortasse recte (cf. BG 4.23.3 et Var. LL 5.118),,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,1,intermittebat,M U S T V,,(cf. 37.1),intermittebant (sc. Alexandrini),M,,non male (cf. BAfr 26.6 et u. ad 10.2),,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,1,casum periculi,M U S T V,,(cf. Hirt. 8.34.1 et u. TLL 3.582.56-71),casum,ς,,teste Oudendorp (cf. BG 3.5.1),,,,,,,,,,,,,,,,,,,,,,,,,nisi mauis casum secludere (cf. Liu. 21.34.8 et u. infra),,
,7,1,morari Caesarem,M U S T V,,(cf. BAfr 26.4),<non> morari Caesarem,,Landgraf,1888 coll. 55.2 sensu repugnante,morari Caesarem <rem>,,Siesbye,teste Larsen coll. Liu. 40.40.4,,,,,,,,,,,,,,,,,,,,,,,
,7,1,iuberet,M U,,,iuberent,S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,1,grauius extimescerent casum,M U S T V,,(cf. Cic. Att. 4.3.5),grauiorem extimescerent casum,,Aldus,(cf. Cic. Ph. 1.13),grauius extimescerent [casum],,Haupt,teste Nipperdey (cf. BG 1.16.6 et u. supra),grauius extimescerent casurum,,Kraffert,coll. 11.2,,,,,,,,,,,,,,,,,,,
,7,1,Alexandrini,S T V,,,Alexandrinis,M U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,1,possent,M U V,,,possint,S T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,1,apparanda,M U S,,,apparenda,T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,1,illis,M U,,,illi,S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◊,7,2,domiciliis,S,,,domicilius,V,,et MT per compendia,domicius,U,,per compendium,,,,,,,,,,,,,,,,,,,,,,,
,7,2,ut mihi defendendi essent Alexandrini neque fallaces esse neque temerarii multaque oratio frustra absumeretur cum uero uno tempore et natio eorum et natura cognoscatur aptissimum essent hoc genus ad proditionem dubitare nemo potest,M U S T V,,", quod defendit Madvig ('... neque quemadmodum addere in mentem cuiquam venerit intelligere possum')",[ut mihi defendendi essent Alexandrini neque fallaces esse neque temerarii multaque oratio frustra absumeretur cum uero uno tempore et natio eorum et natura cognoscatur aptissimum essent hoc genus ad proditionem dubitare nemo potest],,Gruterus,ut glossema teste Oudendorp,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,2,ut mihi,M U S T V,,,at mihi <si>,,Madvig,,ut mihi <si>,,Klotz,,,,,,,,,,,,,,,,,,,,,,,,this and the following lemmata overlap with the long preceding lemma
,7,2,neque1,M U S T V,,,<quod> neque,ed.pr.,,(cf. Liu. 42.41.13),,,,,,,,,,,,,,,,,,,,,,,,,,,superscript in lemma
,7,2,esse,,Nipperdey,,essent,M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,2,multaque,M U S T V,,,multa,"ed.pr.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,1,ratione,M U S T V,,,hortatione,,Schneider,coll. BG 5.4.2 (u. et 9.1),,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,2,prohiberi,ς,,teste Dübner,prohibere,M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,2,posse,ed.pr.,,,possent,M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,2,peterent,M U,,,petere,S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,2,Paratonio,M U S T V,,,Paraetonio,,Beroaldus,fortasse recte (u. Gaertner-Hausburg 78-79 n.16),promunturio (sc. Chersonenso),,Schiller,1883 coll. 10.2,,,,,,,,,,,,,,,,,,,,,,,
,8,2,uel2,M U S T V,,,uel a,ς,,teste Andrieu (cf. 74.1),,,,,,,,,,,,,,,,,,,,,,,,,,,superscript in lemma
,8,3,iis qui,M U S T V,,,iis,T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,omission in T V,
,8,4,aduersos (sc. impetus) ex munitionibus sustineri,M U T V,,(cf. 45.2),aduersos (sc. nostros) ex munitionibus sustinere,S,,fortasse recte (cf. 20.5),,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,6,praecursuros et loca excelsiora atque aedificia occupaturos ,U S T V,,,praecursuros,M,,", qui uerba 6 omisit
",,,,,,,,,,,,,,,,,,,,,,,,,,omission in M (uerba 6),
,8,6,fuga,M S,,,fugam,U V,,,tamen fugam,T,,,,,,,,,,,,,,,,,,,,,,,,,
,9,3,dediticiis,Uc S V,,et Mmr,dedi(c/t)iis,M Uac T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,4,hae,U T V,,,heae,M,,,haec,S,,", quod defendit Landgraf 1891a",,,,,,,,,,,,,,,,,,,,,,,
,10,1,nudare,M S T V,,,nudari,U,,non male (cf. BG 2.23.4),,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,2,accessissent (sc. nostri) ,M U S T V,,(cf. BG 7.78.4 et u. ad 6.1),accessisset,,Aldus,et hic et infra fortasse recte,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,2,exposuissent,M U S T V,,,exposuisset,,Aldus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,4,occurrerunt,M U,,,occurrerant,S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,5,habebat et,M U,,,habebat,S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,omission in S T V,
,10,5,quod2,M U S,,,quo,T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,superscript in lemma
,10,6,successuros,Mc U S,,,successoros,Mac,,,succens(u/o)res,Tc V,,,succensuros,Tac,,,,,,,,,,,,,,,,,,,,,
,10,6,existimabat,U T,,,estimabat,M V,,,exstimabat,S,,,,,,,,,,,,,,,,,,,,,,,,,
,11,1,tenuerunt,M,,,tenurunt,U,,,terunt,S T,,,terter,V,,,,,,,,,,,,,,,,,,,,,
,11,2,turpem,M U,,,turpe,S T,,,turpiter,V,,,,,,,,,,,,,,,,,,,,,,,,,
,11,2,conspectu <suorum>,,Khan,"(cf. de re BC 1.71.1, de locutione Sen. Dial. 2.11.2)",conspectu hostium,M,,(cf. BG 1.51.1),conspectu,U S T V,,(cf. BC 2.26.2),,,,,,,,,,,,,,,,,,,,,an conspectu <omnium> (cf. BG 7.80.5)?,omission in U S T V,
,11,3,contentione Rhodiorum,,scripsimus,(cf. BC 1.1.1),contentio nerhodiorum,S,,,contentio r(h)odiorum,M U T V,,,,,,,,,,,,,,,,,,,,,,,,,
,11,4,altera duae,,Turnebus,"(cf. 16.6, 47.2)",altera deinde,M U T V,,,alteraque peritur deinde,Sc,,,alteraque pertur deinde,Sac,,,altera dein duae,,Dauisius,1706,altera apertae undecim,,Kübler,dubitanter (u. 11.1),,,,,,,,,,,
,11,4,magna,M U S,,,magnae,T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,6,suis nauibus,M U T V,,,suis,S,,non male (cf. Liu. 37.24.6),,,,,,,,,,,,,,,,,,,,,,,,,,omission in S,
,12,1,classiariorum,U S T V,,et M supra lineam,nauigatorum,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,1,quibus,M U S T V,,,a quibus (sc. classiariis),,Rhellicanus,(cf. Hirt. 8.9.4),qui (sc. Alexandrini),,Cellarius,", qui Manutium infra sequitur",,,,,,,,,,,,,,,,,,,,,,,
◊,12,1,et <gap>,,scripsimus,,et,M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,", lacunam post uiderent Dauisius 1706, post quibus Nipperdey",,
,12,1,ex,M U S T V,,,uix,,Manutius,(u. 18.1 et cf. BHisp 12.5),uix ex,,Dinter,(cf. 17.4 et u. infra),,,,,,,,,,,,,,,,,,,,,,,
,12,1,locis,M U S T V,,,temporibus,,Kübler,dubitanter (cf. BG 7.14.3),,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,1,quibus et <gap> superioribus locis subleuabantur ut ex aedificiis defendi possent,,scripsimus,,quibus et superioribus locis subleuabantur ut ex aedificiis defendi possent,M U S T V,,,"ut uix ex aedificiis defendi posse se confiderent, quibus et superioribus locis subleuabantur",,Dinter,,,,,,,,,,,,,,,,,,,,,,,,this long lemma overlaps with the 5 previous lemmata
,12,2,confirmauit,M U S,,,firmauit,T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,2,et1,M U,,,ut,S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,superscript in lemma
,12,2,amissae,M U S T V,,,amissae <naues>,,Müller ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,2,restituturum,M S V,,,restiturum,U T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,2,adaucturum,Mc U S,,,adacturum,Mac T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,3,CX,,Manutius,,ex,M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,3,miserant,M U S T V,,(simplex post compositum),amiserant,,Manutius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,3,non tamen,M U,,,tamen,S Tac V,,non post cogitationem suppleuit Tc,,,,,,,,,,,,,,,,,,,,,,,,,,omission in S Tac V,
,12,4,Caesaris,M U S T V,,(cf. BC 3.23.2),Caesari,,Stephanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,4,nautici,M U S T V,,(cf. 16.5),[nautici],,Morus,ut glossema,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,4,regionis,M T V,,,religion(e/i)s,U S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,4,maritimae,M U S T V,,,maritimae <periti>,,Klotz,dubitanter (cf. BC 1.48.7),,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,4,naturale,M,,,naturalem,U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◊,13,5,"X (i.e., decem)",M U S T V,,,<de> X,,Larsen,dubitanter (u. TLL 5.1.58.74-59.28),,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,5,cursu litore,M U S T V,,(cf. BG 4.23.6),cursu <sub> litore,,Larsen,coll. BG 5.57.3,cursu [litore],,Nipperdey,,,,,,,,,,,,,,,,,,,,,,,,
,13,5,defecerat,M U S T V,,(cf. Verg. Aen. 6.354 et BC 3.2.3),decesserat,,Ciacconius,coll. BC 3.112.3 (sed u. Dauisium),desederat,,Siesbye,teste Larsen (cf. Sen. Nat. 6.6.4),,,,,,,,,,,,,,,,,,,,,,,
,13,5,Lycias,M U S T V,,(u. Mitchell 234-37),<Syrias *** Ci>licias,,Schneider,coll. 1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,5,et1,M U S T V,,,VI,,Schneider,,,,,,,,,,,,,,,,,,,,,,,,,,numeros alios alii,,superscript in lemma
,14,1,uterque eorum,M U S,,,uterque,T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,omission in T V,
,14,1,Rhodios (sc. e.g. classiarios),M U S T V,,(u. et ad 15.6 infra),Rhodias,ed.pr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,1,Ponticos,M U S T V,,,Ponticas,ed.pr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,1,hos,M U S T V,,,has,ed.pr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,1,relinquit,M U V,,,reliquit,S T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,5,Africae sic enim praedicant partem esse Alexandriae dimidiam Africae,U S T V,,,Africae,M,,", qui uerba 8 omisit",,,,,,,,,,,,,,,,,,,,,,,,,,omission in M (uerba 8),
,14,5,ii,,scripsimus,,ei,U S T,,,eis,M,,,et,V,,,,,,,,,,,,,,,,,,,,,
,14,5,impeditiores,M,,,expeditiores,U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,3,Caesaris <moram>,,Lewis,(cf. 2.1),Caesaris <dubitationem> aut <dubitare> Caesarem,,Forchhammer,(cf. 7.1 et BG 1.41.3),Caesaris <cunctationem>,,Landgraf,"1888 coll. BG 3.18.6, 3.24.5",Caesaris <consilium>,,Andrieu,dubitanter (cf. BC 3.78.5),cessari,,Kraner,feliciter (cf. Liu. 31.12.1),,,,,,,,,,,,,,,
,15,5,pugnae,M Tc,,(cf. BG 7.62.2),pugna,U S Tac Vac,,,pugnandi,Vc,,(cf. 45.3),,,,,,,,,,,,,,,,,,,,,,,
,15,5,progressis ultra uadum IIII Rhodias,U S Tac V,,(cf. BC 2.19.4 deductis tribus ... cohortes),progressas ultra uadum IIII Rhodias,M Tc,,,,,,,,,,,,,,,,,,,,,,,,,,,"an progressis ultra uadum Rhodiis, IIII (cf. 14.1 et illi infra)?",,
,15,6,illi,M U S T V,,(u. et ad 14.1),illae,,Klotz,dubitanter,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,6,arte sollertiaque se,M U,,,artes sollertia quaesse,S,,,rate solertia quae se,Tac V,,,rate solertiaque se,Tc,,,,,,,,,,,,,,,,,,,,,
,15,6,remi detergerentur,M U Tac V,,(cf. BC 1.58.1),remi detegerentur,Tc,,,remi detererentur,,scholium,teste Hedicke,rem' detergerent,S,,,,,,,,,,,,,,,,,,,,,
,15,8,<nisi> qui,,Fleischer,1879 coll. BG 1.30.5,qui,M U S T V,,,<praeter eos> qui,,Gaertner-Hausburg,129 coll. BC 3.81.2,,,,,,,,,,,,,,,,,,,,,,omission in M U S T V,
,15,8,in pugna occupatum animum haberent,T V,,(cf. Cic. Inu. 1.31),inpugnatioccupatum animum haberent,S,,,in pugna occupatum animum haberet,U,,,pugna haberet occupatum animum,Mac,,,pugna occupatum animum haberet,Mc,,,oppugnatione occupatum animum haberent,,Landgraf,1891a coll. 12.1,,,,,,,,,,,
,15,8,quin,M U T,,,qui in,S V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,8,peteret atque ex omni prospectu locum spectaculo caperet precibusque et uotis uictoriam suis ab dis immortalibus exposceret,M U T V,,uocibus hic et illic leuiter mutatis (u. infra),peteret,S,,", qui uerba 16 omisit",,,,,,,,,,,,,,,,,,,,,,,,,,omission in S (uerba 16),
,15,8,prospectu locum spectaculo,U Tc V,,(u. TLL 10.2.2206.27-41 et cf. Liu. 23.47.3),prospectu locum spectaculoque,Tac,,,prospectaculo cum spectaculo,M,,(deest S),prospectaculo spectaculum,Mmr,,,prospectu illorum (sc. pugnantium) spectacula,,Larsen,coll. Ou. Met. 7.780 etc.,,,,,,,,,,,,,,,
,16,1,par erat,M U Tc,,(inter par et at non legitur Tac),pareat,S,,,appareat,V,,,,,,,,,,,,,,,,,,,,,,,,,
,16,1,pulsis,M U S T V,,(cf. BG 1.46.3),[pulsis] ,,Nipperdey,uoce uictis infra seruata,paucis,,Landgraf,1888 (u. 16.2),prorsus,,Stephanus,"(cf. Quint. 12.9.9)
",,,,,,,,,,,,,,,,,,,
,16,1,dabatur uictis,M U S T V,,(cf. 17.4 et 60.2) ,[dabatur uictis] ,,Gruterus,teste Oudendorp uoce pulsis supra seruata ,dabatur ullum,,Strada,,,,,,,,,,,,,,,,,,,,,,,,
,16,1,illi (sc. hostes) tenerent,M U S T V,,"(cf. Hirt. 8.33.1 possent, 8.39.4 uererentur, BC 3.111.4 haberent et u. ad 16.2)",<cum> illi tenerent,,Clarke,(cf. 69.3),,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,2,summa <exercitus>,,scripsimus,"(cf. BG 6.34.3, BC 1.67.5)",summa,M U S T V,,,summa rerum,ς,,teste Klotz (cf. BC 2.30.1),summa re,,Ciacconius,(cf. Quint. Decl. min. 343.9),,,,,,,,,,,,,,,,,,,
,16,2,qui,S T V,,,quis,M U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,2,cessisset,M U S T V,,,cecidisset,,Oudendorp,Manutium infra sequens coll. Cic. Fam. 6.1.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,2,esset,M U S T V,,(u. ad 16.1),esse,,Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,2,cauendum,M U S T V,,,cedendum,,Rossetus,testibus Gaertner-Hausburg 126 n.198,cadendum,,Manutius,,,,,,,,,,,,,,,,,,,,,,,,
,16,3,superioribus diebus ,M Uc T V,,,diebus,Uac S,,,,,,,,,,,,,,,,,,,,,,,,,,,,omission in S,
,16,5,electi,,Ciacconius,(cf. BHisp 15.2 et u. 13.4 idoneos),flecti,M U S T V,,,flexi,ς ,,teste Andrieu,,,,,,,,,,,,,,,,,,,,,,,
,16,5,uirtuti,U S Tc V,,,uirtute,Tac,,,uirtutis,M,,,,,,,,,,,,,,,,,,,,,,,,,
,16,5,adaequare,M U S,,,adaequarent,T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◊,17,2,<et hanc> et illam [urbem],,scripsimus,,et illa in urbe,M U,,,et illa in urbem,S T V,,,et illam (sc. insulam) et urbem,,Aldus,(u. BC 3.112.6),et insulam et urbem,,Jurinius,,etiam illa (sc. mole) urbem,,Nipperdey,,et illa (sc. insulam molemque) et urbem,,Gertz,teste Klotz (cf. 24.4 illa et BG 1.27.4 ea),et illas et urbem,,Fleischer,1878,,,
,17,3,quosque,,Lipsius,(cf. BC 3.103.1),quos,M U S T V,,", quod defendit Andrieu coll. 77.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,3,in alteram,M U S T V,,,alteram,,Aldus,,alteramque,,Vascosanus,(u. et infra),et alteram,,Castiglioni,,,,,,,,,,,,,,,,,,,,
,17,3,partem <gap>,,scripsimus,", quam lacunam e.g. <pedestres copias exponit, alteram partem> suppleuerimus",partem,M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,3,constratis,M U S,,,constractis,T Vac,,,contractis,Vc,,,,,,,,,,,,,,,,,,,,,,,,,
,17,3,praemiis,ed.pr.,,(u. et supra),praemiisque,M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,4,pariter,M U S T V,,(sc. in litore et angustiis; cf. BC 3.52.1),Pharitae,,Schneider,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,4,quo,M U T V,,(cf. BG 2.16.5),qua,S,,fortasse recte (cf. 19.4) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,4,V,M U S T V,,,[V],,Vielhaber,coll. 13.4 et 16.7 ,utrinque,,Fleischer,1879 coll. 17.3,,,,,,,,,,,,,,,,,,,,,an Alexandrini (u. et infra)?,,
,17,5,litore constiterunt atque hos sunt alii subsecuti constanterque in eos qui in litore,M U T V,,uocibus hic et illic leuiter mutatis (u. infra),litore,S,,", qui uerba 12 omisit",,,,,,,,,,,,,,,,,,,,,,,,,,omission in S (uerba 12),
,17,5,constanterque,ς,,teste Klotz (cf. 36.2),constantemque,M U T V,,(deest S),,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,6,his pulsis,U S T V,,,hii pulsi,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,6,pulsis <gap>,,Schneider,", quam lacunam Larsen <nautae> uel <milites> suppleuerit",pulsis uel pulsi,M U S T V,,(u. supra) ,,,,,,,,,,,,,,,,,,,,,,,,,nisi mauis <Alexandrini> (cf. 15.5 et u. supra) uel <illi> (cf. Sen. Contr. 1.8.11) ,,
,18,1,diutius ea munitione,,Dauisius,1706 (cf. BG 2.30.2),diutius ex munitione,M Uc S T V,,,ex munitionibus diutius,Uc,,,,,,,,,,,,,,,,,,,,,,,,,
,18,1,maioribus,M U,,,minoribus,S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,1,aut cratibus aut,M U S T,,,aut,V,,", qui uerba 2 omisit",,,,,,,,,,,,,,,,,,,,,,,,,,omission in V (uerba 2),
,18,3,DCCC,Mc U S T V,,,DCCCC,Mac,,", quem numerum defendit Schiller 1890a coll. BC 3.112.2",,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,3,oppidum enatauerunt multi tamen ex his capti interfectique sunt sed numerus captiuorum omnino fuit VI milium,M U S T,,uocibus hic et illic leuiter mutatis (u. infra),oppidum,V,,", qui uerba 15 omisit",,,,,,,,,,,,,,,,,,,,,,,,,,omission in V (uerba 15),
,18,4,tamen ex his,M S T,,,tamen,U,,", qui uerba 2 omisit (deest V)",,,,,,,,,,,,,,,,,,,,,,,,,,omission in U (uerba 2),
,19,1,propior,T V,,(cf. 73.1),prior,M U S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,2,certiorem,S T V,,(cf. Fron. Aq. 2 et u. TLL 3.924.52-68),fortiorem,M U,,", quod defendit Fleischer coll. 66.2",artiorem,,Vielhaber,coll. 19.3 angustiae loci,inferiorem,,Stark,(cf. 6.2),ulteriorem,,Schambach,1882 (cf. BC 1.40.3),,,,,,,,,,,,,,,
