STBA,Paragraph,Section,Lemma,Lemma_Witnesses,Lemma_Sources,Lemma_Annotations,Reading_1,Reading_1_Witnesses,Reading_1_Sources,Reading_1_Annotations,Reading_2,Reading_2_Witnesses,Reading_2_Sources,Reading_2_Annotations,Reading_3,Reading_3_Witnesses,Reading_3_Sources,Reading_3_Annotations,Reading_4,Reading_4_Witnesses,Reading_4_Sources,Reading_4_Annotations,Reading_5,Reading_5_Witnesses,Reading_5_Sources,Reading_5_Annotations,Reading_6,Reading_6_Witnesses,Reading_6_Sources,Reading_6_Annotations,Reading_7,Reading_7_Witnesses,Reading_7_Sources,Reading_7_Annotations,General_Comment,Omissions,Complications
,48,1,dissimulabant,ς ,,teste Clarke,dissimulant,M U S T V,,", quod defendit Dübner ('de genere hominum loquitur') ",,,,,,,,,,,,,,,,,,,,,,,,,an dissimularent?,,
,48,1,animaduertere,M,,,animum auertere,U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48,2,conduxit sestertios centenos,,Jungermann,compendio HS indicato (cf. Hirt. 8.4.1 et u. infra),conduxit sestertios centum,M U,,ut uidetur per compendia,conduxit seste R C,S Tac,,compendiis indicatis,conduxit se R C,Tc,,,conduxisset romanus cassius,V,,,,,,,,,,,,,,,,,
,48,2,post cum,,Vascosanus,(cf. BC 3.65.2),postquam,M U S T V,,", quod defendit Landgraf 1889 coll. BAfr 40.5, 50.3, 91.3
",,,,,,,,,,,,,,,,,,,,,,,,,,,
,48,2,in Lusitania Medobrigam,,Ciacconius,(u. infra),in lusitania medobregam,M U S,,,illusit aniamedo brigam,T V,,,,,,,,,,,,,,,,,,,,,,,an in Lusitania Medubrigam (cf. CIL II.760 et Plin. Nat. 4.118)?,,
,48,2,Medobrigenses,M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,an Medubrigenses (u. supra)?,,
,48,2,esset appellatus,M U,,,appellatus,S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,omission in STV,
,48,2,sestertiis centenis,ς,,teste Oudendorp (de corruptela u. supra et ad 55.5),ihs c,M U T,,compendio indicato,Iterum ihs c ,S,,compendio indicato,ihc cesar,V,,compendio indicato,,,,,,,,,,,,,,,,,,,
,48,3,minuebat (sc. Cassius),M U S T V,,(cf. 8.1),minuebant (sc. praemia),ed.pr.,,(cf. BG 7.30.3),,,,,,,,,,,,,,,,,,,,,,,,,,,
◊,49,1,hiberna,U,,(cf. BC 1.14.3),hibernia,M T V,,,ibernia,S,,,,,,,,,,,,,,,,,,,,,,,,,
,49,1,in ea (sc. prouincia),M U S T V,,(de prolepsi cf. 12.2 eas),antea (uel alea) ,,Madvig," (cf. Cic. Rab. Post. 4 et, de ablatiuo, u. TLL 4.762.81-763.1)",ingens,,Jurinius,(‘magnum ... fuisse patet ex duobus donatiuis’; cf. Sal. Cat. 16.4),"interea (i.e., inter ius dicendum)",,Menge,,,,,,,,,,,,,,,,,,,,
◊,49,2,simul et,,Latinius,(cf. Liu. 2.6.10),simultatium,M U S T V,,(cf. BG 5.44.2),simulationis,,Schneider,", qui causa legit infra (cf. Cic. Att. 12.20.1 dissimulationis)",,,,,,,,,,,,,,,,,,,,,,,
,49,2,causae,M U,,(cf. Cic. Orat. 124),causa,S T V,,(u. et supra et infra),,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,2,coiciebantur,M U S T V,,(cf. XII Tab. apud Gell. 17.2.10),conciebantur,,Landgraf,"1888, qui causa legit supra, coll. Pollione apud Cic. Fam. 10.33.4",,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,2,quaestus,M U S,,,quaestius,T V,,,quaestuis,,Klotz,,,,,,,,,,,,,,,,,,,,,,,,
,49,3,quin,S,,(cf. 15.8),qui,M U T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,2,referebant,M U T V,,,ferebant,S,,", quod defendit Klotz coll. Sen. Ep. 78.3",,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,3,nouam conscribit,M U S,,,nouam scribit,V,,,adscribit nouam,Tac,,,nouam conscribit,Tc,,,,,,,,,,,,,,,,,,,,,
,50,3,legionis,M U S,,,legiones,T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,1,maioraque,M U,,(cf. 56.4 et BC 2.17.4),maturaque,S T V,,(cf. Fron. Aq. 117.2),,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,2,uoluntate,M U S T V,,(u. 51.4 et TLL 7.1.1929.23-34 'de eis quae non solent esse uel reperiri'),uoluptate,,Manutius,(cf. Suet. Cal. 54.1 et Curt. 4.6.26),,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,3,Lusitaniam,ς,,teste Oudendorp,lusitania,M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,3,pecuniaeque describerentur atque imperarentur ne,M U S T,,,ne,V,,", qui uerba 4 omisit",,,,,,,,,,,,,,,,,,,,,,,,,,omission in V (uerba 4),
,51,3,describerentur,M U S T,,(deest V; de orthographia u. TLL 5.1.663.39-46),discriberentur,ς,,teste Dübner,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,4,deerat,M U,,,de ea,S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52,1,sestertios centenos,,Oudendorp,coll. 48.2,sestertios,M U S V,,,sestertior,T,,,,,,,,,,,,,,,,,,,,,,,,,
,52,1,Hispania,ς,,teste Oudendorp,hispaniam,M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52,2,tradit,Mc U S,,,tradidit,Mac T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52,2,auersum (sc. Cassium),,Oudendorp,(uel conuersum; cf. Nep. Dat. 11 uel Apul. Met. 2.13),uersum,S T,,,usum,V,,,uerso,M U,,,,,,,,,,,,,,,,,,,,,
,52,3,uniuersis,M U S,,,uniuersus,T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52,4,ibi T. Vasius,U,,et Mmr,ibi tuasius,M T V,,,ibit uasius,S,,,,,,,,,,,,,,,,,,,,,,,,,
,52,4,Mercello,,Hübner,coll. CIL II.2226 (u. et ad 55.3),mergelio,S,,,mergilio,M U T V,,,,,,,,,,,,,,,,,,,,,,,,,
,52,4,at ipsum Longinum L. Licinius Squillus inuolat,S,,(cf. Apul. Met. 2.32),ad ipsum longinum l licinius squillus inuolat,Mc U T,,,ad idsum longinum l licinius squillus inuolat,Mac,,,ad longinum l lucinius quibus inuolat,V,,,,,,,,,,,,,,,,,,,nisi mauis ad ipsum Longinum L. Licinius Squillus aduolat (cf. BG 5.17.2),,
,53,1,Berones,M U S T V,,(cf. Str. 3.4.12),centuriones,,Fleischer,1879 coll. Sall. Cat. 59.3 (u. et 53.5 omni prouincia),,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,2,ceteri,M U Vc,,,ceteris,S T Vac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,2,Tusculus,M U T,,,tisculus,S,,,tuculus,V,,,,,,,,,,,,,,,,,,,,,,,,,
,53,3,itinere fugiens,M U S,,,itinere refugiens,T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,4,Laterensis,M U S T V,,(de nomenclatura cf. 31.1 Carfulenum et 57.4 Marcellum),<L.> Laterensis,ς,,"teste Klotz, fortasse recte (u. 55.2)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,4,militibusque,Mmr,,(cf. BC 1.18.3),a militibusque,M U S T V,,(u. TLL 6.2.2252.37-43 '?gratulo'),,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,5,ut,,Nipperdey,,aut,M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,5,legionis,M S,,,legiones,U T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,5,legionem,M U S V,,,legiones,T,,per compendium ut uidetur,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54,3,indicaretur,M U T V,,(u. TLL 7.1.1156.9-17),indicaret,S,,,iudicaretur,ς,,teste Oudendorp fortasse recte (cf. Hirt. 8.13.4),,,,,,,,,,,,,,,,,,,,,,,
,55,1,legionem quintam in castra remittit,ed.pr.,,,legiones V in castra remittit,M U S T V,,,legiones [V] in castra remittit <V>,,Kübler,dubitanter coll. 57.2,,,,,,,,,,,,,,,,,,,,,nisi mauis legiones [V] in castra remittit (u. et infra),,
,55,1,"cohortibus XXX (sc. legionum tricesimae, unetuicesmae, et secundae)",M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"an cohortibus tricesimae (sc. legionis) (u. 54.2 et cf. BG 7.87.1, et u. supra)?",,
,55,2,Minuci(i),U S,,(u. 53.3),munitii,M,,,minici,T V,,,,,,,,,,,,,,,,,,,,,,,,,
,55,2,Minucium,ς,,teste Nipperdey,municium,M U S V,,,minitium,T,,,,,,,,,,,,,,,,,,,,,,,,,
,55,3,indicium,ed.pr.,,(cf. Sal. Jug. 35.6),indictum,M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,3,isdem,M U,,,idem,S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,3,adfectus,S T V,,,a(d/f)fecit,M U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,3,Mercello,,Hübner,coll. CIL II.2226 (u. et ad 52.4),Mercelio,S,,,Mercellio,M U T V,,,,,,,,,,,,,,,,,,,,,,,,,
,55,4,nam palam HS LX cum,,Glandorpius,coll. V. Max. 9.4.2 sexagies,nam palam shi X cum,M U S T,,compendiis indicatis,,V,,relicto inter palam et cum spatio septem litterarum,,,,,,,,,,,,,,,,,,,,,,omission in V,
,55,5,Q. Sestio,M U T V,,,quae sensio,S,,per compendium,Squillo,,Klotz,ex 55.4 fortasse recte,,,,,,,,,,,,,,,,,,,,,,,
,55,5,qui si,M U S T V,,,quod si,,Schneider,coll. 8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,2,dolore,S T V,,(cf. Cic. Rep. 2.1 grauitate),dolori,M U,,(cf. Vell. 2.5.3 timori),,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,2,temporum,M U S T V,,(cf. BC 3.20.3),<superiorum> temporum,,Fleischer,1878 coll. BC 1.51.3,imperiorum,,Schneider,coll. BC 3.32.4,,,,,,,,,,,,,,,,,,,,,,,
,56,2,animus,M U S V,,(cf. BC 2.34.6),animis,T,,,animi,,Scaliger,(cf. Curt. 4.13.3),,,,,,,,,,,,,,,,,,,,,,,
,56,2,timere,ς,,teste Nipperdey (cf. Liu. 38.28.5),timeret,M U S T V,,,,,,,quem autem Romae,ed.pr.,,,quem autem Romanorum,,Clarke,,aequa autem ratione,,Scaliger,(u. uectigal infra),,,,,,,,,alii alia,,
,56,4,equitum autem Romanorum,ς,,teste Clarke (cf. BC 1.30.4),aeque autem romae,M U S V,,,aeque autem romi,T,,,,,,,,,,,,,,,,,,,,,,,,,
,56,4,conscriptos,M U S T V,,,conscriptos <habebat>,ς,,teste Clarke (cf. 34.4),,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,4,creabat,U S T,,,credebat,M V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,5,totum,ed.pr.,,,notum,M U S T V,,,nouum,,Ursinus,(cf. Cic. Fam. 11.7.3),,,,,,,,,,,,,,,,,,,,,,,
,56,5,in Africam,,Aldus,1574 (u. 51.1 et cf. BG 4.38.3 in ... fines),in Africa ,M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,5,auxilia,M U S,,,auxilium,Tac,,,ad auxilium,Tc,,,ad auxilia,V,,,,,,,,,,,,,,,,,,,,,
,56,6,ut quibus,M U,,(cf. BC 3.102.2),quibus,S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,57,1,eam a,,Jurinius,,fama,M U S T V,,(cf. Cic. Fam. 12.4.2),,,,,,,,,,,,,,,,,,,,,,,,,,,
,57,1,quam Q. Cassius,M U Vc,,,quamque cassius,S,,,quintus cassius,Vac,,et T per compendium,,,,,,,,,,,,,,,,,,,,,,,
,57,1,Leptim,M U S T V,,(u. Talbert 2000),Ilipam,,Glandorpius,coll. Str. 3.2.2,,,,,,,,,,,,,,,,,,,,,,,,,alii alia,,
,57,1,ducebatur,M U S,,(cf. BC 1.68.1),deducebatur,T V,,(cf. Hirt. 8.46.4),adducebatur,,J. Simons,(cf. 25.1 et 58.1),,,,,,,,,,,,,,,,,,,,,,,
,57,2,"unetuicesimanorum (i.e., XXImanorum)",,Lipsius,"(u. 53.5, 54.2, 57.3 et cf. Tac. Ann. 1.31.3)",undeui(n)ce(n)simanorum,M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,57,2,†noctu†,,scripsimus,", ut uerbum iteratum ex 57.2 supra (de uerborum ordine cf. BC 3.22.3)",noctu,M U S T V,,,[noctu],ed.pr.,,(de usu absoluto cf. BC 3.67.4),Naeuam,,Schneider,(cf. Plin. Nat. 3.11),,,,,,,,,,,,,,,,,,,
,57,2,Carmonem,,Nipperdey,(Carmonam iam Rhellicanus; u. Str. 3.2.2 et ad 64.1),carbonem,M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,57,3,legio,M U T V,,,legiones,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
